[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | 192.168.2.14:52990 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | 192.168.2.14:57431 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:14] ALERT: DNS Query | 192.168.2.14:63298 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:18:14] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:26] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:26] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:31] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:31] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:38] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:38] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:43] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:43] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:43] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:43] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:44] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:48] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:54] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:54] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:55] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:55] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:55] ALERT: HTTP Traffic | 192.168.2.14:54415 -> 199.232.214.172:80 | Protocol: TCP | Priority: 5
[2025-10-28 23:18:56] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:18:56] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:02] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:02] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:09] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:10] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | 192.168.2.14:59592 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:19:13] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:19] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:19] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | 192.168.2.14:54631 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | 192.168.2.14:60450 -> 192.168.2.1:53 | Protocol: UDP | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
[2025-10-28 23:19:21] ALERT: DNS Query | N/A:0 -> N/A:0 | Protocol: unknown | Priority: 5
